Has already crawled 0 countries
Fetching data for Afghanistan...
Fetching Afghanistan successfully
Processing table 1 ...
Albania | Visa required
Netherlands | Visa required
New Zealand | Visa required
Nicaragua | Visa required
Niger | Visa required
Nigeria | Visa required
Norway | Visa required
Oman | Visa required
Pakistan | Visa required
Palau | Visa on arrival
Panama | Visa required
Papua New Guinea | Visa required
Paraguay | Visa required
Peru | Visa required
Philippines | Visa required
Poland | Visa required
Portugal | Visa required
Qatar | Visa required
Romania | Visa required
Russia | Visa required
Rwanda | eVisa
Saint Kitts and Nevis | Visa not required
Saint Lucia | Visa on arrival
Saint Vincent and the Grenadines | Visa not required
Samoa | Visa on arrival !Entry Permit on arrival
San Marino | Visa required
S茫o Tom茅 and Pr铆ncipe | eVisa
Saudi Arabia | Visa required
Senegal | Visa not required
Serbia | Visa required
Seychelles | Visa on arrival !Visitor's Permit on arrival
Sierra Leone | Visa required
Singapore | eVisa
Slovakia | Visa required
Slovenia | Visa required
Solomon Islands | Visa required
Somalia | Visa required
South Africa | Visa required
South Sudan | Visa required
Spain | Visa required
Sri Lanka | Electronic Travel Authorisation
Sudan | Visa required
Suriname | Visa on arrival !Tourist Card on arrival
Eswatini | Visa required
Sweden | Visa required
Switzerland | Visa required
Syria | Visa required
Tajikistan | eVisa
Tanzania | Visa on arrival
Thailand | Visa on arrival
Togo | Visa on arrival
Tonga | Visa required
Trinidad and Tobago | Visa not required
Tunisia | Visa required
Turkey | Visa required
Turkmenistan | Visa required
Tuvalu | Visa on arrival
Uganda | Visa on arrival
Ukraine | Visa required
United Arab Emirates | Visa required
United Kingdom | Visa required
United States | Visa required
Uruguay | Visa required
Uzbekistan | Visa required
Vanuatu | Visa not required
Vatican City | Visa required
Venezuela | Visa required
Vietnam | Visa required
Yemen | Visa required
Zambia | eVisa
Zimbabwe | eVisa
Processing table 2 ...
Visitor to | Visa requirement
Abkhazia | Visa required
Mount Athos | Special permit required
Belovezhskaya Pushcha National Park | Visa not required
Crimea | Visa required
Turkish Republic of Northern Cyprus | Visa not required
UN Buffer Zone in Cyprus | Access Permit required
Faroe Islands | Visa required
Gibraltar | Visa required
Guernsey | Visa required
Isle of Man | Visa required
Jan Mayen | Permit required
Jersey | Visa required
Kosovo | Visa required
Nagorno-Karabakh Republic | Visa required
Novorossiya | Restricted area
Russia | Special authorization required
South Ossetia | Visa not required
Svalbard | Visa not required
Transnistria | Visa not required
Visitor to | Visa requirement
British Indian Ocean Territory | Special permit required
EritreaoutsideAsmara | Travel permit required
Ascension Island | Entry Permit required
Saint Helena | Visitor's Pass required
Tristan da Cunha | Permission required
Western Sahara | Undefined visa regime
R茅union | Visa not required
Somaliland | Visa on arrival
Sudan | Travel permit required
Darfur | Travel permit required
Visitor to | Visa requirement
Hong Kong | Electronic Travel Authorization
Kazakhstan | Special permission required
Kish Island | Visa not required
Macau | Visa not required
SabahandSarawak | Evisa
Maldives | Permission required
Palestine | Visa not required
Jeju Island | Visa not required
Taiwan | Visa required
Gorno-Badakhshan Autonomous Province | OIVR permit required
Tibet Autonomous Region | TTP required
Korean Demilitarised Zone | Restricted zone.
UNDOF ZoneandGhajar | Restricted zone.
Yemen | Special permission required
Visitor to | Visa requirement
Anguilla | Visa required
Aruba | Visa required
Bermuda | Visa required
Bonaire,St. EustatiusandSaba | Visa required
British Virgin Islands | Visa not required
Cayman Islands | Visa required
Curacao | Visa required
French Guiana | Visa required
French West Indies | Visa required
Greenland | Visa required
Montserrat | Visa not required
Puerto Rico | Visa required
Saint Pierre and Miquelon | Visa required
Sint Maarten | Visa required
Turks and Caicos Islands | Visa not required
U.S. Virgin Islands | Visa required
Visitor to | Visa requirement
Ashmore and Cartier Islands | Special authorisation required
Clipperton Island | Special permit required
Cook Islands | Visa not required
Lau Province | Special permission required
French Polynesia | Visa required
Guam | Visa required
Niue | Visa on arrival
Pitcairn Islands | Visa not required
United States Minor Outlying Islands | Special permits required
Visitor to | Visa requirement
Gal谩pagos | Pre-registration required
Visitor to | Visa requirement
Falkland Islands | Visa required
South Georgia and the South Sandwich Islands | Permit required
Antarctica | 
Processing table 3 ...
Myanmar | Conditional Visa on Arrival for Business Visa, workshops and events etc. It's unclear if exemption is valid for tourist visas.Though, full reciprocity exits only in providing E-visa for tourism purpose.
Indonesia | Visa not required for tourism purpose. Visa on arrival for business and family visit.
Vietnam | Before travelling, an online approval letter needs to be received from a designated visa agency, and printed out. Takes 2 working days. Then, Visa on Arrival at Hanoi, Da Nang and HCM City.
Laos | Visa on arrival for 30 days
Cambodia | Visa on arrival for 30 days
Bolivia | Visa on arrival for 90 days, charged at La Paz airport. Prior visa is free of cost at Bolivian embassy.
Djibouti | Visa on arrival
Dominica | Visa not required
Ecuador | Visa not required
El Salvador | Visa not required
Fiji | Visa not required
Grenada | Visa not required
Guyana | Visa on arrival
Haiti | Visa not required
Jamaica | Visa not required
Jordan | Visa on arrival
Madagascar | Visa on arrival
Malawi | Visa on arrival
Mauritius | Visa not required
Micronesia | Visa not required
Nauru | Visa on arrival
Palau | Visa on arrival
Saint Kitts and Nevis | Visa not required
Saint Vincent and the Grenadines | Visa not required
Saint Lucia | Visa on arrival
Seychelles | Visa on arrival
Tanzania | Visa on arrival
Thailand | Visa on arrival
Timor-Leste | Visa on arrival
Trinidad and Tobago | Visa not required
Tuvalu | Visa on arrival
Vanuatu | Visa not required
Processing table 4 ...
Burundi | Visa application and approval mandatory prior to Travel
Cape Verde | Visa application and approval mandatory prior to Travel
Comoros | Visa application and approval mandatory prior to Travel
Ethiopia | Visa application and approval mandatory prior to Travel
Guinea-Bissau | Visa application and approval mandatory prior to Travel
Rwanda | Visa application and approval mandatory prior to Travel
Somalia | Visa application and approval mandatory prior to Travel
Togo | Visa application and approval mandatory prior to Travel
Uganda | Visa application and approval mandatory prior to Travel
Processing table 5 ...
Destination | Number of visitors
American Samoa | 50
Angola[note 1] | 6,464
Antarctica[note 2] | 207
Antigua and Barbuda[note 2] | 368
Australia[note 2] | 259,900
Austria[note 3][note 2] | 147,300
Azerbaijan | 5,584
Belgium | 65,149
Botswana | 17,413
Brazil | 23,259
Cambodia[note 2] | 46,131
Canada[note 2] | 225,121
Cayman Islands[note 2][note 4] | 256
Chile[note 2] | 3,774
China | 730,500
Colombia | 5,402
Congo[note 5] | 2,373
Costa Rica[note 2] | 7,085
Croatia[note 2] | 35,057
Dominica | 97
Dominican Republic[note 2] | 2,139
France | 524,055
Georgia[note 2] | 36,204
Germany | 212,506
Hong Kong[note 2] | 480,906
Hungary | 26,024
Indonesia | 306,960
Israel[note 2] | 44,800
Italy | 257,000
Jamaica[note 2] | 1,721
Japan | 103,084
Kazakhstan | 11,170
Kyrgyzstan | 7,600
Laos | 5,492
Latvia | 3,303
Lebanon[note 6] | 12,889
Macao[note 2] | 165,278
Madagascar | 2,234
Malaysia | 770,108
Maldives[note 2] | 66,955
Mali[note 1] | 1,500
Mauritius[note 2] | 82,670
Mexico[note 2] | 59,020
Montenegro[note 1][note 3] | 1,131
Myanmar | 34,628
Nepal[note 7] | 75,124
Netherlands | 101,000
New Zealand[note 2] | 52,016
Oman[note 6] | 244,786
Panama | 6,748
Papua New Guinea | 4,012
Peru | 5,684
Philippines | 74,824
Qatar | 375,910
Russia[note 8] | 95,527
Seychelles[note 2] | 10,916
Singapore[note 2] | 1,097,186
South Africa | 85,639
South Korea[note 2] | 195,911
Spain[note 2] | 97,033
Sri Lanka[note 2] | 356,729
Suriname | 552
Swaziland[note 2] | 6,867
Taiwan[note 2] | 33,550
Thailand[note 2] | 1,193,822
Timor-Leste[note 1][note 7] | 799
Turkey[note 2] | 79,316
Ukraine[note 2] | 14,047
United Kingdom | 422,000
United States[note 9] | 1,898,327
Zambia | 25,517
Zimbabwe | 5,421
Has already crawled 76 countries
Fetching data for Indonesia...
Fetching Indonesia successfully
Afghanistan | Afghanistan [305] 30 days
Albania | Albania [306]
Argentina | Argentina [307] 90 days
Austria | Austria [308] 30 days
Azerbaijan | Azerbaijan [309] 30 days
Bangladesh | Bangladesh [310] 30 days
Belarus | Belarus [311] 30 days
Belgium | Belgium [312] 90 days
Bolivia | Bolivia [313] 90 days
Bosnia and Herzegovina | Bosnia and Herzegovina [314] 90 days
Brazil | Brazil [315] 14 days
Bulgaria | Bulgaria [316] 90 days
Cambodia | Cambodia [317] 14 days
China | China [318]
Croatia | Croatia [319] 14 days
Ethiopia | Ethiopia [320] 3 months
France | France [321] 30 days
Georgia | Georgia [322] 30 days
Hungary | Hungary [323] 90 days
India | India [324] 30 days
Iran | Iran [325] 14 days
Italy | Italy [326] 90 days
Kazakhstan | Kazakhstan [327] 30 days
Kyrgyzstan | Kyrgyzstan [329] 30 days
Liechtenstein | Liechtenstein [330] 90 days
Lithuania | Lithuania [331] 30 days
Luxembourg | Luxembourg [332] 90 days
Malta | Malta [334] 90 days
Mexico | Mexico [335] 30 days
Moldova | Moldova [336] 90 days
Mongolia | Mongolia [337] 30 days
Netherlands | Netherlands [338] 90 days
North Korea | North Korea [339] 14 days
Pakistan | Pakistan [340] 30 days
Paraguay | Paraguay [341] 90 days
Poland | Poland [342] 30 days
Portugal | Portugal [343] 90 days
Russia | Russia [345] 14 days
Slovakia | Slovakia [346] 90 days
Slovenia | Slovenia [347] 30 days
South Korea | South Korea [348] 30 days
Suriname | Suriname [349] 30 days
Switzerland | Switzerland [350] 90 days
Tunisia | Tunisia [351] 30 days
Turkey | Turkey [352] 60 days
United Arab Emirates | United Arab Emirates [353] 90 days
United Kingdom | United Kingdom [354] diplomatic passports only
Uruguay | Uruguay [355] 90 days
Venezuela | Venezuela [356] 30 days
Zimbabwe | Zimbabwe [357]
Australia | Australia 1
Brunei | Brunei 1
Chile | Chile 1
China | China 2
Hong Kong | Hong Kong 2
Japan | Japan 1
South Korea | South Korea 1
Malaysia | Malaysia 2
Mexico | Mexico 1
New Zealand | New Zealand 1
Papua New Guinea | Papua New Guinea 2
Peru | Peru 1
Philippines | Philippines 3
Russia | Russia 1
Singapore | Singapore 2
Thailand | Thailand 1
Vietnam | Vietnam 2
Processing table 1 ...
Afghanistan | Visa required
Albania | Visa required
Algeria | Visa required
Andorra | Visa required
Angola | Visa required
Antigua and Barbuda | Electronic Entry Visa
Argentina | Visa required
Armenia | Visa on arrival
Australia | Visa required
Austria | Visa required
Azerbaijan | eVisa
Bahamas | Visa required
Bahrain | eVisa
Bangladesh | Visa required
Barbados | Visa required
Belarus | Visa not required
Belgium | Visa required
Belize | Visa required
Benin | Visa required
Bhutan | Visa required
Bolivia | Visa required
Bosnia and Herzegovina | Visa required
Botswana | Visa required
Brazil | Visa required
Brunei | Visa not required
Bulgaria | Visa required
Burkina Faso | Visa required
Burundi | Visa required
Cambodia | Visa not required
Cameroon | Visa required
Canada | Visa required
Cape Verde | Visa on arrival
Central African Republic | Visa required
Chad | Visa required
Chile | Visa not required
China | Visa required
Colombia | Visa not required
Comoros | Visa on arrival
Republic of the Congo | Visa required
Democratic Republic of the Congo | Visa required
Costa Rica | Visa required
C么te d'Ivoire | Electronic visa
Croatia | Visa required
Cuba | Tourist Card required
Cyprus | Visa required
Czech Republic | Visa required
Denmark | Visa required
Djibouti | Visa on arrival
Dominica | Visa not required
Dominican Republic | Visa required
Ecuador | Visa not required
Egypt | Visa required
El Salvador | Visa required
Equatorial Guinea | Visa required
Eritrea | Visa required
Estonia | Visa required
Ethiopia | Visa required
Fiji | Visa not required
Finland | Visa required
France | Visa required
Gabon | eVisa
Gambia | Visa not required
Georgia | eVisa
Germany | Visa required
Ghana | Visa required
Greece | Visa required
Grenada | Visa required
Guatemala | Visa required
Guinea | Visa required
Guinea-Bissau | Visa on arrival
Guyana | Visa not required
Haiti | Visa not required
Honduras | Visa required
Hungary | Visa required
Iceland | Visa required
India | e-Tourist Visa
